Timestamp,AFz,AF3,AF4,AF7,AF8,Pz,P3,P4,2024-04-10 13:13:40.847,fs=125
2339937.240;-9.909;-11.064;-3.837;-11.735;-0.410;-7.562;-11.288;-2.868
2339937.248;-12.852;-13.635;-6.631;-14.342;-2.235;-5.662;-9.090;-2.943
2339937.256;-16.466;-17.695;-11.474;-16.913;-6.519;-2.459;-5.662;-3.017
2339937.264;-18.328;-20.675;-13.933;-20.005;-7.041;-1.267;-4.359;-2.161
2339937.272;-19.595;-22.687;-16.056;-22.016;-9.723;-1.788;-5.737;-1.825
2339937.280;-21.718;-23.618;-18.701;-22.128;-12.815;-1.080;-6.147;-1.080
2339937.288;-25.667;-25.928;-23.544;-25.481;-18.179;1.751;-1.937;1.714
2339937.296;-28.759;-28.983;-27.269;-30.287;-22.128;2.384;-2.421;1.229
2339937.304;-25.332;-25.220;-22.873;-26.487;-16.242;5.141;0.261;2.272
2339937.312;-23.507;-24.214;-21.309;-24.922;-15.572;3.763;-1.639;-1.006
2339937.320;-23.022;-23.842;-21.420;-23.618;-17.062;4.321;-1.118;-0.633
2339937.328;-23.246;-23.395;-22.501;-23.060;-18.366;8.158;3.316;2.384
2339937.336;-25.518;-24.401;-24.997;-24.438;-19.856;6.594;4.247;1.006
2339937.344;-29.989;-29.951;-28.312;-29.765;-22.240;2.757;1.453;-1.639
2339937.352;-29.206;-29.877;-27.269;-29.728;-21.979;2.086;1.304;-1.080
2339937.360;-29.765;-29.765;-29.095;-29.728;-25.295;0.820;0.000;-1.825
2339937.368;-33.081;-33.788;-32.820;-33.341;-27.046;-2.012;-2.608;-2.980
2339937.376;-32.932;-34.869;-31.479;-33.751;-23.730;-4.508;-5.104;-3.465
2339937.384;-29.430;-31.777;-26.748;-31.143;-19.185;-4.210;-4.098;-3.576
2339937.392;-21.160;-24.438;-19.856;-24.997;-12.964;-1.043;-0.708;-1.192
2339937.400;-20.824;-24.289;-20.601;-25.518;-13.858;-1.155;-1.453;-2.757
2339937.408;-28.163;-30.920;-28.834;-31.143;-22.426;-4.731;-5.700;-6.594
2339937.416;-29.728;-31.441;-29.765;-31.330;-21.942;-1.080;-2.831;-4.321
2339937.424;-29.244;-31.479;-30.957;-31.181;-22.389;0.708;-0.335;-4.694
2339937.467;-28.908;-31.963;-30.175;-30.659;-23.060;-1.378;-1.565;-5.588
2339937.475;-30.436;-34.235;-31.888;-33.081;-25.742;-2.123;-3.614;-5.513
2339937.483;-29.132;-33.565;-30.473;-32.410;-23.507;2.794;-0.112;-0.596
2339937.491;-29.281;-34.347;-29.802;-32.596;-22.985;3.874;0.931;2.272
2339937.499;-32.149;-36.694;-32.336;-36.396;-24.661;2.570;0.075;1.974
2339937.507;-33.565;-37.961;-33.900;-37.365;-27.120;1.527;-1.341;1.341
2339937.515;-32.708;-37.402;-31.404;-35.688;-26.859;4.359;2.347;3.688
2339937.523;-34.682;-39.190;-33.043;-36.843;-27.977;4.321;4.247;2.831
2339937.531;-39.488;-44.256;-37.998;-41.276;-32.857;0.820;1.565;0.447
2339937.539;-38.184;-44.368;-35.204;-42.133;-28.275;-2.682;-3.316;-1.863
2339937.547;-36.284;-42.059;-34.459;-40.568;-29.169;-3.763;-5.066;-3.278
2339937.555;-36.322;-41.351;-34.608;-39.712;-29.244;-5.886;-8.084;-4.992
2339937.563;-37.514;-43.735;-35.502;-41.351;-27.157;-7.674;-10.133;-5.215
2339937.571;-37.737;-43.362;-36.471;-41.947;-28.349;-10.394;-12.740;-5.662
2339937.579;-35.278;-39.153;-34.496;-37.923;-27.157;-11.399;-13.709;-6.407
2339937.587;-32.745;-37.476;-32.224;-36.843;-24.736;-12.442;-13.784;-8.158
2339937.595;-32.261;-37.067;-31.814;-37.029;-22.911;-13.262;-14.491;-9.015
2339937.603;-27.604;-31.814;-28.163;-31.665;-21.085;-7.153;-8.084;-3.427
2339937.611;-29.095;-32.932;-30.659;-33.639;-22.687;-7.413;-8.009;-3.278
2339937.619;-33.788;-36.769;-36.620;-36.396;-28.759;-10.096;-10.803;-5.588
2339937.627;-35.167;-37.961;-38.594;-36.955;-30.771;-8.494;-9.313;-5.104
2339937.635;-34.757;-38.259;-37.588;-36.433;-28.871;-6.519;-6.855;-5.700
2339937.643;-39.116;-42.766;-40.904;-40.270;-32.261;-9.760;-9.127;-8.121
2339937.651;-45.262;-49.621;-46.194;-46.678;-36.731;-17.323;-16.242;-13.933
2339937.631;-43.251;-48.168;-42.692;-46.939;-31.702;-19.036;-18.179;-15.646
2339937.639;-40.606;-45.896;-40.047;-45.970;-29.095;-17.434;-15.274;-13.784
2339937.647;-34.384;-38.594;-35.502;-37.886;-25.891;-9.201;-5.886;-8.494
2339937.655;-29.616;-31.926;-32.261;-29.504;-22.650;-3.204;0.782;-5.513
2339937.663;-27.753;-29.616;-29.616;-24.959;-21.234;0.186;3.539;-3.353
2339937.671;-29.728;-31.218;-31.032;-26.263;-21.942;0.484;2.868;-1.974
2339937.679;-32.373;-33.304;-33.528;-28.834;-24.401;-1.602;-0.112;-2.235
2339937.687;-37.849;-38.333;-37.625;-35.018;-29.095;-5.625;-4.247;-3.465
2339937.695;-42.096;-43.847;-41.611;-39.227;-31.218;-12.368;-10.729;-8.196
2339937.703;-41.537;-44.666;-38.818;-39.972;-26.859;-14.566;-11.772;-9.388
2339937.711;-40.717;-43.176;-37.365;-39.525;-24.699;-15.423;-12.182;-11.623
2339937.719;-40.643;-41.313;-37.327;-36.396;-25.406;-14.082;-10.990;-11.548
