Marker,MarkerTimestamp,2024-05-08 12:06:52.266;
1.000;4.755.229.444
2.000;4.755.233.365
4.000;4.755.239.357
5.000;4.755.250.964
6.000;4.755.255.351
7.000;4.755.261.160
8.000;4.755.272.164
9.000;4.755.276.491
10.000;4.755.281.658
11.000;4.755.293.091
12.000;4.755.297.286
13.000;4.755.302.641
14.000;4.755.313.557
15.000;4.755.317.558
16.000;4.755.323.643
17.000;4.755.335.030
18.000;4.755.338.762
19.000;4.755.344.421
20.000;4.755.354.941
21.000;4.755.359.161
22.000;4.755.365.724
23.000;4.755.375.613
24.000;4.755.380.077
25.000;4.755.386.632
26.000;4.755.397.278
27.000;4.755.401.512
28.000;4.755.408.879
29.000;4.755.419.288
30.000;4.755.423.415
31.000;4.755.429.243
