Timestamp,AFz,AF3,AF4,AF7,AF8,Pz,P3,P4,2024-05-16 12:15:21.066,fs=125
5446940.371;-28.908;-27.008;-43.400;-27.120;-7.562;17.434;18.403;17.583
5446940.379;-30.175;-28.089;-41.947;-27.902;-8.419;18.105;14.491;19.483
5446940.387;-28.461;-25.705;-40.196;-25.667;-8.084;15.348;10.058;14.380
5446940.395;-25.742;-20.787;-34.906;-18.142;-5.811;7.898;5.737;6.668
5446940.403;-27.493;-23.358;-34.608;-22.277;-5.811;6.258;7.190;5.402
5446940.411;-26.934;-24.699;-31.739;-25.146;-7.823;7.264;7.190;5.215
5446940.419;-28.946;-27.120;-34.384;-29.393;-11.772;9.015;15.274;2.235
5446940.427;-29.020;-26.971;-34.459;-27.679;-10.207;0.708;4.284;-3.651
5446940.435;-32.075;-28.796;-35.278;-28.349;-10.394;-9.090;-5.662;-12.107
5446940.443;-28.163;-25.369;-27.232;-24.959;-6.370;-8.345;-6.519;-10.766
5446940.451;-25.816;-23.171;-24.997;-20.824;-7.153;-3.763;0.857;-9.425
5446940.459;-21.793;-18.328;-20.713;-18.477;-2.012;5.364;11.586;1.788
5446940.467;-24.401;-19.558;-25.742;-21.681;-4.955;0.261;5.290;-3.800
5446940.475;-29.169;-24.289;-29.653;-26.673;-10.841;-6.109;-1.006;-8.345
5446940.483;-28.722;-23.060;-21.346;-23.134;-7.637;-1.341;4.657;3.092
5446940.491;-29.430;-23.469;-24.512;-20.750;-10.207;-7.600;-6.333;-5.327
5446940.499;-28.647;-23.171;-30.249;-22.687;-12.890;-7.115;-2.906;-11.623
5446940.507;-19.744;-13.299;-13.560;-12.182;-2.496;-1.229;2.570;-2.645
5446940.515;-18.068;-12.442;-10.282;-9.499;-3.316;4.619;7.823;2.310
5446940.523;-27.232;-21.011;-15.944;-20.675;-8.196;0.112;2.384;-3.986
5446940.531;-30.249;-24.773;-15.721;-21.607;-8.158;-0.782;-2.272;4.955
5446940.539;-29.802;-26.338;-17.807;-22.724;-10.654;-1.229;-2.682;11.437
5446940.547;-31.330;-29.355;-20.973;-26.003;-12.927;-4.694;-0.075;-1.006
5446940.555;-29.057;-27.344;-18.962;-23.097;-12.964;-1.639;4.284;-0.857
5446940.641;-27.977;-25.816;-15.274;-22.240;-10.058;-2.310;-1.751;1.229
5446940.649;-27.902;-25.369;-12.405;-26.561;-7.227;1.229;1.229;0.745
5446940.657;-28.610;-24.363;-16.950;-23.656;-8.717;4.396;6.631;1.937
5446940.665;-26.934;-23.134;-13.858;-20.824;-10.021;3.725;3.390;2.049
5446940.673;-23.730;-21.979;-9.909;-21.718;-13.858;4.545;8.233;2.123
5446940.681;-20.489;-18.105;-9.723;-19.297;-14.417;-1.192;3.390;-5.104
5446940.689;-22.352;-16.540;-11.846;-15.609;-14.529;-4.582;0.447;-8.605
5446940.697;-20.377;-14.566;-7.898;-12.591;-11.064;-5.737;-1.974;-9.611
5446940.705;-20.750;-16.838;-8.345;-13.411;-11.809;-4.843;-1.602;-7.190
5446940.713;-22.240;-16.615;-7.190;-13.225;-11.735;-3.614;-1.527;-4.433
5446940.721;-15.646;-7.711;-1.527;-4.917;-9.723;6.258;5.476;9.313
5446940.729;-13.039;-6.296;-1.341;-4.433;-6.706;9.798;13.039;9.201
5446940.737;-17.211;-12.070;-8.196;-12.591;-7.041;6.296;13.337;2.198
5446940.745;-19.372;-16.838;-1.080;-15.311;-5.849;-0.112;0.112;0.522
5446940.753;-20.713;-19.670;2.198;-16.950;-5.178;3.576;8.233;4.247
5446940.761;-18.887;-15.795;-0.037;-12.964;-2.943;7.488;10.915;8.754
5446940.769;-19.632;-14.752;-3.092;-12.703;-6.817;4.694;12.070;2.496
5446940.777;-17.174;-13.746;-3.129;-13.188;-5.625;0.484;7.153;2.347
5446940.785;-16.093;-10.282;-4.321;-7.078;-3.129;-1.825;1.825;1.863
5446940.793;-15.832;-11.288;-1.118;-8.605;-0.112;-4.210;0.633;3.353
5446940.801;-15.199;-12.629;-0.484;-10.096;0.112;-7.935;-1.788;3.017
5446940.809;-16.242;-12.554;-3.837;-10.096;-1.416;-7.488;-0.447;-3.912
5446940.817;-15.125;-9.201;-5.215;-1.863;-4.396;3.874;12.442;2.719
5446940.825;-9.015;-5.290;-0.112;4.135;0.633;12.182;21.793;10.654
5446940.820;-8.456;-2.831;-1.378;2.757;4.061;0.820;4.806;-1.192
5446940.828;-10.990;-5.551;0.969;0.633;8.866;-1.676;6.035;1.416
5446940.836;-3.614;3.092;8.419;8.866;13.858;-2.980;5.178;-0.931
5446940.844;-3.763;3.986;8.494;9.947;11.660;-6.258;2.347;-4.023
5446940.852;15.981;26.859;27.567;34.682;24.475;0.633;7.488;6.631
5446940.860;46.678;63.702;55.954;70.333;44.778;9.947;14.827;14.901
5446940.868;70.408;93.244;78.976;93.505;59.195;0.708;3.241;0.335
5446940.876;114.180;141.077;120.923;133.514;90.078;6.519;9.909;5.700
5446940.884;143.424;175.200;149.719;161.789;110.194;5.104;11.027;5.476
5446940.892;161.119;199.303;166.632;184.029;119.247;0.969;9.090;6.296
5446940.900;173.263;213.645;179.708;196.509;127.256;-9.835;-0.894;-2.384
5446940.908;190.474;229.590;195.615;209.697;139.624;-1.602;7.637;7.451
5446940.916;202.507;239.909;206.493;219.382;148.900;16.242;25.146;23.320
5446940.924;197.664;234.284;199.862;210.144;143.759;16.205;23.507;18.813
5446940.932;183.694;221.692;181.422;200.868;131.913;12.815;16.764;13.486
5446940.940;164.546;202.172;157.356;180.863;112.504;11.548;15.907;14.678
5446940.948;144.280;180.155;139.177;165.068;96.858;-4.098;4.396;-5.178
